Section;Extruder;Key;Type;Label;Value
general;0;Date;str;Date;20/01/2024 16:54:12
general;0;Os;str;Os;Windows 10.0.19045
general;0;Cura_Version;str;Cura Version;5.6.0
general;0;Profile;str;Profile;empty
general;0;Quality;str;Quality;Standard Quality
general;0;Extruder_Count;int;Extruder_Count;1
resolution;1;layer_height;float;Layer Height;0.2
resolution;1;layer_height_0;float;Initial Layer Height;0.2
resolution;1;line_width;float;Line Width;0.4
resolution;1;wall_line_width;float;Wall Line Width;0.4
resolution;1;wall_line_width_0;float;Outer Wall Line Width;0.4
resolution;1;wall_line_width_x;float;Inner Wall(s) Line Width;0.4
resolution;1;skin_line_width;float;Top/Bottom Line Width;0.4
resolution;1;infill_line_width;float;Infill Line Width;0.4
resolution;1;skirt_brim_line_width;float;Skirt/Brim Line Width;0.4
resolution;1;initial_layer_line_width_factor;float;Initial Layer Line Width;100
shell;1;wall_thickness;float;Wall Thickness;1.6
shell;1;wall_line_count;int;Wall Line Count;4
shell;1;wall_transition_length;float;Wall Transition Length;0.4
shell;1;wall_distribution_count;int;Wall Distribution Count;1
shell;1;wall_transition_angle;float;Wall Transitioning Threshold Angle;10
shell;1;wall_transition_filter_deviation;float;Wall Transitioning Filter Margin;0.1
shell;1;wall_0_wipe_dist;float;Outer Wall Wipe Distance;0
shell;1;wall_0_inset;float;Outer Wall Inset;0
shell;1;optimize_wall_printing_order;bool;Optimize Wall Printing Order;True
shell;1;inset_direction;enum;Wall Ordering;inside_out
shell;1;alternate_extra_perimeter;bool;Alternate Extra Wall;False
shell;1;min_wall_line_width;float;Minimum Wall Line Width;0.34
shell;1;min_even_wall_line_width;float;Minimum Even Wall Line Width;0.34
shell;1;min_odd_wall_line_width;float;Minimum Odd Wall Line Width;0.34
shell;1;fill_outline_gaps;bool;Print Thin Walls;False
shell;1;xy_offset;float;Horizontal Expansion;0
shell;1;xy_offset_layer_0;float;Initial Layer Horizontal Expansion;0
shell;1;hole_xy_offset;float;Hole Horizontal Expansion;0
shell;1;z_seam_type;enum;Z Seam Alignment;back
shell;1;z_seam_position;enum;Z Seam Position;back
shell;1;z_seam_x;float;Z Seam X;117.5
shell;1;z_seam_y;float;Z Seam Y;235
shell;1;z_seam_corner;enum;Seam Corner Preference;z_seam_corner_weighted
shell;1;z_seam_relative;bool;Z Seam Relative;False
top_bottom;1;roofing_layer_count;int;Top Surface Skin Layers;0
top_bottom;1;top_bottom_thickness;float;Top/Bottom Thickness;0.8
top_bottom;1;top_thickness;float;Top Thickness;0.8
top_bottom;1;top_layers;int;Top Layers;4
top_bottom;1;bottom_thickness;float;Bottom Thickness;0.8
top_bottom;1;bottom_layers;int;Bottom Layers;4
top_bottom;1;initial_bottom_layers;int;Initial Bottom Layers;4
top_bottom;1;top_bottom_pattern;enum;Top/Bottom Pattern;lines
top_bottom;1;top_bottom_pattern_0;enum;Bottom Pattern Initial Layer;lines
top_bottom;1;skin_monotonic;bool;Monotonic Top/Bottom Order;False
top_bottom;1;skin_angles;[int];Top/Bottom Line Directions;[ ]
top_bottom;1;small_skin_width;float;Small Top/Bottom Width;0.8
top_bottom;1;small_skin_on_surface;bool;Small Top/Bottom On Surface;False
top_bottom;1;skin_no_small_gaps_heuristic;bool;No Skin in Z Gaps;False
top_bottom;1;skin_outline_count;int;Extra Skin Wall Count;1
top_bottom;1;ironing_enabled;bool;Enable Ironing;False
top_bottom;1;skin_overlap;float;Skin Overlap Percentage;10
top_bottom;1;skin_overlap_mm;float;Skin Overlap;0.04
top_bottom;1;skin_preshrink;float;Skin Removal Width;1.6
top_bottom;1;top_skin_preshrink;float;Top Skin Removal Width;1.6
top_bottom;1;bottom_skin_preshrink;float;Bottom Skin Removal Width;1.6
top_bottom;1;expand_skins_expand_distance;float;Skin Expand Distance;1.6
